CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Under 10 km,10 km to 30 km,30 km and over,Work from home,Other
19897,00AAFA,00AAFA : Aldersgate,Standard Table (ST) wards,SWARD,856,26,38,,137
19898,00AAFQ,00AAFQ : Cripplegate,Standard Table (ST) wards,SWARD,1377,57,45,,282
19899,00AAFT,00AAFT : Farringdon Without,Standard Table (ST) wards,SWARD,878,32,13,,139
19900,00AAFX,00AAFX : Portsoken,Standard Table (ST) wards,SWARD,323,9,9,,48
19901,00ABFX,00ABFX : Abbey,Standard Table (ST) wards,SWARD,2041,1481,110,,477
19902,00ABFY,00ABFY : Alibon,Standard Table (ST) wards,SWARD,1918,1121,103,,471
19903,00ABFZ,00ABFZ : Becontree,Standard Table (ST) wards,SWARD,2266,1427,142,,516
19904,00ABGA,00ABGA : Chadwell Heath,Standard Table (ST) wards,SWARD,1755,1194,119,,514
19905,00ABGB,00ABGB : Eastbrook,Standard Table (ST) wards,SWARD,2215,1607,125,,606
19906,00ABGC,00ABGC : Eastbury,Standard Table (ST) wards,SWARD,2203,1385,90,,489
19907,00ABGD,00ABGD : Gascoigne,Standard Table (ST) wards,SWARD,1672,1066,78,,396
19908,00ABGE,00ABGE : Goresbrook,Standard Table (ST) wards,SWARD,2168,1307,132,,509
19909,00ABGF,00ABGF : Heath,Standard Table (ST) wards,SWARD,1887,1043,114,,408
19910,00ABGG,00ABGG : Longbridge,Standard Table (ST) wards,SWARD,1990,1527,104,,551
19911,00ABGH,00ABGH : Mayesbrook,Standard Table (ST) wards,SWARD,1973,1080,96,,464
19912,00ABGJ,00ABGJ : Parsloes,Standard Table (ST) wards,SWARD,1877,1073,88,,445
19913,00ABGK,00ABGK : River,Standard Table (ST) wards,SWARD,2234,1471,122,,499
19914,00ABGL,00ABGL : Thames,Standard Table (ST) wards,SWARD,1692,1127,92,,419
19915,00ABGM,00ABGM : Valence,Standard Table (ST) wards,SWARD,1881,1011,93,,444
19916,00ABGN,00ABGN : Village,Standard Table (ST) wards,SWARD,1850,1422,110,,512
19917,00ABGP,00ABGP : Whalebone,Standard Table (ST) wards,SWARD,2105,1580,147,,623
19918,00ACFX,00ACFX : Brunswick Park,Standard Table (ST) wards,SWARD,3256,2406,174,,1067
19919,00ACFY,00ACFY : Burnt Oak,Standard Table (ST) wards,SWARD,3218,1832,136,,924
19920,00ACFZ,00ACFZ : Childs Hill,Standard Table (ST) wards,SWARD,5203,1025,197,,1481
19921,00ACGA,00ACGA : Colindale,Standard Table (ST) wards,SWARD,3003,1788,138,,797
