,GEO_CODE,Work mainly at or from home,Underground; metro; light rail; tram,Train,Bus; minibus or coach,Taxi,Motorcycle; scooter or moped,Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work
0,E01000001,104,244,34,33,25,10,79,6,19,507,6
1,E01000002,94,191,24,46,15,6,55,3,19,400,11
2,E01000003,100,202,25,49,15,6,58,3,21,421,11
3,E01000005,32,110,13,46,3,0,22,3,4,147,0
4,E01009921,2,8,5,5,0,0,11,1,0,3,0
5,E01009922,2,7,5,4,0,0,9,1,0,3,0
6,E01009923,2,9,6,5,0,0,11,1,0,3,0
7,E01009924,2,8,5,4,0,0,10,1,0,3,0
8,E01009925,2,8,5,4,0,0,10,1,0,3,0
9,E01009926,2,8,5,4,0,0,10,1,0,3,0
10,E01009927,2,8,5,4,0,0,10,1,0,3,0
11,E01009928,2,9,6,5,0,0,11,1,0,3,0
12,E01016351,0,0,0,0,0,0,0,0,0,0,0
13,E01016352,0,0,0,0,0,0,0,0,0,0,0
14,E01016353,3,9,6,5,0,0,12,1,0,4,0
15,E01016354,0,0,0,0,0,0,0,0,0,0,0
16,E01016355,3,9,6,5,0,0,11,1,0,3,0
17,E01016358,2,8,5,5,0,0,11,1,0,3,0
18,E01016378,2,8,5,4,0,0,10,1,0,3,0
19,E01020430,2,8,5,4,0,0,10,1,0,3,0
20,E01020431,2,7,4,4,0,0,9,1,0,3,0
21,E01020441,3,11,7,6,0,0,14,1,1,4,0
22,E01023151,2,7,4,4,0,0,9,1,0,3,0
23,E01023152,2,9,5,5,0,0,11,1,0,3,0
24,E01028354,2,9,5,5,0,0,11,1,0,3,0
25,E01028355,2,8,5,4,0,0,11,1,0,3,0
26,E01028356,2,9,5,5,0,0,11,1,0,3,0
27,E01028375,2,8,5,4,0,0,10,1,0,3,0
28,E01028376,2,8,5,4,0,0,10,1,0,3,0
29,E01028705,2,8,5,4,0,0,10,1,0,3,0
30,E01028706,2,8,5,5,0,0,11,1,0,3,0
31,E01028707,3,9,6,5,0,0,12,1,0,4,0
32,E01028687,0,0,0,0,0,0,0,0,0,0,0
33,E01028688,2,7,5,4,0,0,9,1,0,3,0
34,E01028689,2,8,5,4,0,0,11,1,0,3,0
35,E01028699,2,9,6,5,0,0,11,1,0,3,0
36,E01023150,2,8,5,4,0,0,10,1,0,3,0
37,E01014370,3,9,6,5,0,0,12,1,0,4,0
38,E01014371,3,10,6,5,0,0,12,1,0,4,0
39,E01014372,3,11,7,6,0,0,13,1,1,4,0
40,E01014210,2,9,5,5,0,0,11,1,0,3,0
41,E01014211,2,8,5,4,0,0,11,1,0,3,0
42,E01014212,2,8,5,4,0,0,10,1,0,3,0
43,E01014213,2,8,5,4,0,0,10,1,0,3,0
44,E01014214,2,9,5,5,0,0,11,1,0,3,0
45,E01014215,2,9,5,5,0,0,11,1,0,3,0
46,E01014216,2,8,5,4,0,0,10,1,0,3,0
47,E01014217,2,9,5,5,0,0,11,1,0,3,0
48,E01000006,3,9,6,5,0,0,12,1,0,3,0
49,E01000007,2,9,5,5,0,0,11,1,0,3,0
50,E01000008,2,8,5,4,0,0,10,1,0,3,0
51,E01000009,2,9,6,5,0,0,11,1,0,3,0
52,E01000010,2,8,5,4,0,0,10,1,0,3,0
53,E01000011,2,8,5,4,0,0,10,1,0,3,0
54,E01000012,2,8,5,4,0,0,10,1,0,3,0
55,E01000050,2,9,5,5,0,0,11,1,0,3,0
56,E01026871,2,8,5,4,0,0,10,1,0,3,0
57,E01026122,2,9,5,5,0,0,11,1,0,3,0
58,E01026123,2,7,4,4,0,0,9,1,0,3,0
59,E01026124,2,8,5,4,0,0,11,1,0,3,0
60,E01026125,3,9,6,5,0,0,12,1,0,4,0
61,E01026126,2,8,5,4,0,0,10,1,0,3,0
62,E01024551,3,10,6,5,0,0,13,1,0,4,0
63,E01024552,2,9,5,5,0,0,11,1,0,3,0
64,E01024553,2,9,6,5,0,0,11,1,0,3,0
65,E01017944,2,7,4,4,0,0,9,1,0,3,0
66,E01017945,2,7,5,4,0,0,9,1,0,3,0
67,E01017946,2,8,5,4,0,0,11,1,0,3,0
68,E01017947,2,8,5,4,0,0,11,1,0,3,0
69,E01017948,2,9,5,5,0,0,11,1,0,3,0
70,E01032225,2,7,4,4,0,0,8,1,0,3,0
71,E01032226,2,9,5,5,0,0,11,1,0,3,0
72,E01032227,2,7,4,4,0,0,9,1,0,3,0
73,E01032244,2,7,5,4,0,0,9,1,0,3,0
74,E01031043,2,8,5,4,0,0,10,1,0,3,0
75,E01031044,2,8,5,4,0,0,10,1,0,3,0
76,E01031045,2,8,5,4,0,0,11,1,0,3,0
77,E01031046,2,9,5,5,0,0,11,1,0,3,0
78,E01031047,2,8,5,5,0,0,11,1,0,3,0
79,E01031254,2,9,5,5,0,0,11,1,0,3,0
80,E01031255,2,9,5,5,0,0,11,1,0,3,0
81,E01031304,2,8,5,4,0,0,11,1,0,3,0
82,E01031256,2,9,5,5,0,0,11,1,0,3,0
83,E01031257,2,8,5,4,0,0,10,1,0,3,0
84,E01031258,2,8,5,4,0,0,11,1,0,3,0
85,E01003355,3,9,6,5,0,0,12,1,0,3,0
86,E01003356,3,10,6,5,0,0,12,1,0,4,0
87,E01003357,3,10,6,5,0,0,12,1,0,4,0
88,E01003358,3,9,6,5,0,0,11,1,0,3,0
89,E01003359,3,9,6,5,0,0,12,1,0,4,0
90,E01003360,2,9,6,5,0,0,11,1,0,3,0
91,E01003975,2,9,5,5,0,0,11,1,0,3,0
92,E01003976,2,9,5,5,0,0,11,1,0,3,0
93,E01003981,2,9,6,5,0,0,11,1,0,3,0
94,E01003982,0,0,0,0,0,0,0,0,0,0,0
95,E01003941,2,6,4,3,0,0,8,1,0,2,0
96,E01013551,2,8,5,4,0,0,11,1,0,3,0
97,E01013453,3,9,6,5,0,0,11,1,0,3,0
98,E01013554,2,9,5,5,0,0,11,1,0,3,0
99,E01013456,3,9,6,5,0,0,12,1,0,4,0
100,E01013457,3,9,6,5,0,0,12,1,0,4,0
101,E01013460,3,10,6,5,0,0,13,1,0,4,0
102,E01013522,2,9,5,5,0,0,11,1,0,3,0
103,E01013524,3,11,7,6,0,0,13,1,1,4,0
104,E01013547,2,8,5,4,0,0,10,1,0,3,0
105,E01013606,3,10,6,5,0,0,12,1,0,4,0
106,E01013607,3,9,6,5,0,0,12,1,0,4,0
107,E01013715,2,8,5,4,0,0,10,1,0,3,0
108,E01013716,2,9,6,5,0,0,11,1,0,3,0
109,E01013719,2,8,5,4,0,0,10,1,0,3,0
110,E01013923,0,0,0,0,0,0,0,0,0,0,0
111,E01013926,2,9,5,5,0,0,11,1,0,3,0
112,E01013927,0,0,0,0,0,0,0,0,0,0,0
113,E01013928,2,9,5,5,0,0,11,1,0,3,0
114,E01013974,3,11,7,6,0,0,14,1,1,4,0
115,E01013686,2,8,5,4,0,0,11,1,0,3,0
116,E01013975,4,14,9,8,0,0,18,2,1,5,0
117,E01013977,3,9,6,5,0,0,11,1,0,3,0
118,E01013978,2,9,5,5,0,0,11,1,0,3,0
119,E01013979,2,9,5,5,0,0,11,1,0,3,0
120,E01029405,2,9,6,5,0,0,11,1,0,3,0
121,E01029406,2,6,4,3,0,0,8,1,0,2,0
122,E01000015,77,194,100,123,10,23,496,57,24,95,1
123,E01000016,80,203,105,129,10,24,520,60,25,99,1
124,E01000018,75,189,97,120,9,23,484,55,24,92,1
125,E01000019,55,141,133,136,7,23,433,56,19,58,2
126,E01000020,60,153,144,147,7,25,469,61,20,63,2
127,E01000021,58,147,138,142,7,24,451,58,20,60,2
128,E01000022,53,135,127,130,7,22,415,54,18,55,2
129,E01000026,0,0,0,0,0,0,0,0,0,0,0
130,E01000110,38,51,75,55,6,9,244,25,5,37,1
131,E01000112,41,55,81,60,6,10,266,27,6,40,1
132,E01000113,41,55,82,60,7,10,267,27,6,40,1
133,E01000029,45,60,89,65,7,11,291,30,6,44,1
134,E01000031,40,53,79,58,6,10,257,26,5,39,1
135,E01000032,42,56,83,61,7,10,271,27,6,41,1
136,E01000033,25,50,47,38,3,6,170,17,6,25,2
137,E01000034,30,60,57,46,3,7,206,20,7,31,3
138,E01000035,28,56,54,43,3,7,193,19,7,29,2
139,E01000036,27,54,52,42,3,7,186,18,6,28,2
140,E01000037,32,64,61,49,4,8,221,22,8,33,3
141,E01000038,31,61,58,47,3,7,211,21,7,32,3
142,E01000039,31,62,58,47,3,8,211,21,7,32,3
143,E01031347,32,63,60,48,3,8,215,21,7,32,3
144,E01031348,31,61,58,47,3,7,209,20,7,31,3
145,E01031349,26,51,49,39,3,6,175,17,6,26,2
146,E01000040,48,218,105,103,10,14,419,46,18,73,3
147,E01000042,45,203,97,96,10,13,389,43,16,68,3
148,E01000043,43,195,93,92,9,12,374,41,16,65,3
149,E01000044,54,244,117,116,12,15,469,52,20,82,3
150,E01000051,53,168,84,100,1,4,242,29,12,83,4
151,E01000052,58,184,92,109,1,4,263,32,13,91,5
152,E01000047,0,0,0,0,0,0,0,0,0,0,0
153,E01000048,54,172,86,102,1,4,246,30,12,85,4
154,E01000049,53,168,84,100,1,4,242,29,12,83,4
155,E01000053,42,116,54,56,4,14,280,34,16,50,1
156,E01000056,43,118,55,57,4,14,284,34,16,51,1
157,E01000058,46,125,58,61,5,15,303,37,17,54,1
158,E01000059,47,130,61,63,5,16,314,38,18,56,1
159,E01000084,41,111,52,54,4,14,269,32,15,48,1
160,E01000086,41,112,52,55,4,14,270,33,15,49,1
161,E01012415,5,11,7,12,1,1,36,4,2,6,0
162,E01012416,5,11,7,12,1,1,36,4,2,6,0
163,E01012418,5,12,7,13,1,1,38,4,2,6,0
164,E01012428,5,13,8,14,1,1,41,5,2,7,0
165,E01000060,5,13,8,14,1,1,41,5,2,7,0
166,E01000061,5,13,8,15,1,1,43,5,2,7,0
167,E01000062,5,13,8,15,1,1,43,5,2,7,0
168,E01000064,5,13,8,14,1,1,41,5,2,7,0
169,E01000111,6,14,8,15,1,1,44,5,2,7,0
170,E01000114,6,15,9,16,1,2,48,6,2,8,0
171,E01026329,6,15,9,17,1,2,50,6,2,8,0
172,E01024357,5,11,7,13,1,1,37,4,2,6,0
173,E01024358,5,13,8,14,1,1,41,5,2,7,0
174,E01024360,5,12,7,13,1,1,39,5,2,6,0
175,E01024367,5,12,7,13,1,1,37,4,2,6,0
176,E01024368,0,0,0,0,0,0,0,0,0,0,0
177,E01024369,5,12,7,13,1,1,39,5,2,6,0
178,E01024144,5,11,7,13,1,1,37,4,2,6,0
179,E01024145,5,12,7,14,1,1,40,5,2,6,0
180,E01024146,5,12,7,13,1,1,37,4,2,6,0
181,E01024147,5,13,8,14,1,1,42,5,2,7,0
182,W01001769,5,13,8,14,1,1,41,5,2,7,0
183,W01001770,5,12,7,13,1,1,38,4,2,6,0
184,W01001771,5,12,8,14,1,1,40,5,2,6,0
185,W01001772,5,11,7,13,1,1,37,4,2,6,0
186,W01001773,5,12,7,13,1,1,38,5,2,6,0
187,W01001774,5,11,7,12,1,1,36,4,2,6,0
188,W01001775,5,12,7,13,1,1,38,5,2,6,0
189,W01001776,4,11,7,12,0,1,35,4,2,6,0
190,E01031086,6,15,9,16,1,2,47,6,2,8,0
191,E01031087,5,12,7,13,1,1,39,5,2,6,0
192,E01031088,5,12,7,13,1,1,37,4,2,6,0
193,E01031089,5,12,7,13,1,1,38,5,2,6,0
194,E01031106,5,12,7,13,1,1,37,4,2,6,0
195,E01029430,5,12,7,13,1,1,39,5,2,6,0
196,E01029431,5,12,7,13,1,1,39,5,2,6,0
197,E01029432,5,12,8,14,1,1,40,5,2,6,0
198,E01029433,5,12,7,13,1,1,38,4,2,6,0
199,E01009154,0,0,0,0,0,0,0,0,0,0,0
200,E01009155,11,38,20,12,2,2,68,6,2,10,0
201,E01009156,0,0,0,0,0,0,0,0,0,0,0
202,E01009157,11,37,19,11,2,2,65,6,2,9,0
203,E01009158,11,39,20,12,2,2,68,6,2,10,0
204,E01009159,10,33,17,10,2,2,59,5,2,8,0
205,E01009160,12,41,21,12,3,2,72,6,2,10,0
206,E01009161,11,39,20,12,2,2,69,6,2,10,0
207,E01009162,12,41,21,12,3,2,71,6,2,10,0
208,E01009163,10,36,19,11,2,2,63,5,2,9,0
209,E01009164,11,40,20,12,2,2,70,6,2,10,0
210,E01009165,10,34,17,10,2,2,59,5,2,8,0
211,E01009166,9,33,17,10,2,2,58,5,2,8,0
212,E01009167,11,38,20,12,2,2,68,6,2,10,0
213,E01009168,11,38,20,12,2,2,68,6,2,10,0
214,E01009169,11,38,19,11,2,2,66,6,2,9,0
215,E01009170,11,38,20,11,2,2,66,6,2,9,0
216,E01009171,11,39,20,12,2,2,68,6,2,10,0
217,E01009172,11,36,19,11,2,2,64,5,2,9,0
218,E01009173,12,43,22,13,3,2,75,6,2,11,0
219,E01009174,10,34,17,10,2,2,59,5,2,8,0
220,E01000066,11,37,19,11,2,2,65,6,2,9,0
221,E01000067,11,38,19,11,2,2,66,6,2,9,0
222,E01000068,11,37,19,11,2,2,66,6,2,9,0
223,E01000069,10,35,18,11,2,2,62,5,2,9,0
224,E01000070,11,39,20,12,2,2,68,6,2,10,0
