,GEO_CODE,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km and over,Work or study mainly at or from home,Other (including no fixed place of work; working on an offshore installation and working outside the UK)
0,S01000001,115,13,133,270,14,48,47
1,S01000002,101,128,180,48,15,19,63
2,S01000003,156,195,213,41,12,17,44
3,S01000004,93,117,190,54,9,14,53
4,S01000005,70,16,99,235,20,10,51
5,S01000006,74,28,89,131,6,21,27
6,S01000007,95,61,96,171,10,32,49
7,S01000008,65,10,101,146,6,11,35
8,S01000009,146,121,159,34,12,14,44
9,S01000010,107,134,128,25,14,13,52
10,S01000011,108,77,228,92,19,102,31
11,S01000012,150,179,169,44,18,29,58
12,S01000013,140,22,142,232,6,28,34
13,S01000014,191,210,200,49,7,22,52
14,S01000015,178,168,124,28,8,21,49
15,S01000016,66,42,141,31,5,118,13
16,S01000017,172,250,153,47,11,20,68
17,S01000018,127,138,96,31,10,17,46
18,S01000019,81,55,159,45,11,19,22
19,S01000020,128,81,157,10,14,83,29
20,S01000021,181,243,78,34,9,23,44
21,S01000022,128,61,210,18,23,44,24
22,S01000023,126,87,242,70,14,48,26
23,S01000024,50,50,65,144,9,49,25
24,S01000025,191,77,284,17,5,59,26
25,S01000026,224,212,47,15,10,23,42
26,S01000027,147,76,212,18,15,33,34
27,S01000028,249,177,55,16,14,20,55
28,S01000029,139,84,269,22,13,41,15
29,S01000030,124,100,22,13,3,16,25
30,S01000031,121,130,187,26,18,51,27
31,S01000032,303,203,58,18,10,24,53
32,S01000033,182,151,43,17,9,26,31
33,S01000034,168,206,196,12,13,38,34
34,S01000035,180,333,59,25,14,22,48
35,S01000036,157,219,44,10,5,10,40
36,S01000037,205,188,39,17,14,11,48
37,S01000038,230,209,37,25,16,17,60
38,S01000039,184,295,54,20,7,13,47
39,S01000040,305,201,54,16,8,21,47
40,S01000041,128,254,40,13,6,29,49
41,S01000042,168,234,46,10,11,29,52
42,S01000043,151,235,61,18,14,17,46
43,S01000044,166,253,53,17,7,21,46
44,S01000045,62,194,46,10,9,23,30
45,S01000046,95,250,60,7,13,22,18
46,S01000047,123,170,33,13,8,17,40
47,S01000048,143,298,90,19,20,19,45
48,S01000049,136,218,52,12,11,24,26
49,S01000050,132,146,32,14,8,17,35
50,S01000051,129,186,64,4,11,17,31
51,S01000052,233,94,28,7,14,12,45
52,S01000053,244,284,65,32,12,33,40
53,S01000054,88,189,47,2,11,21,36
54,S01000055,257,121,27,15,7,25,31
55,S01000056,179,144,299,27,13,58,38
56,S01000057,253,100,23,7,9,39,40
57,S01000058,197,174,58,9,19,24,24
58,S01000059,261,158,53,20,21,31,49
59,S01000060,176,93,26,12,1,15,38
60,S01000061,148,251,96,3,15,30,38
61,S01000062,310,259,94,25,28,23,58
