,GEO_CODE,One person household\ Aged 65 and over,One person household\ Aged 0 to 64,One family only\ All aged 65 and over,One family only\ Lone parent\ All children non-dependent,One family only\ Couple family\ No children,One family only\ Couple family\ With dependent children,One family only\ Couple family\ All children non-dependent,One family only\ Lone parent\ With dependent children,Other household types\ Other (including all full-time students and all aged 65 and over)
0,S01000001,42,103,23,11,73,79,21,19,14
1,S01000013,44,28,47,13,58,89,38,17,17
2,S01000024,13,11,11,6,35,70,13,4,8
3,S01000005,17,86,8,12,83,59,10,22,15
4,S01000008,51,49,34,16,43,45,23,13,3
5,S01000006,46,38,32,12,50,49,19,12,11
6,S01000007,56,34,64,6,63,80,34,6,12
7,S01000023,14,17,23,2,58,122,20,8,3
8,S01000011,15,17,26,4,61,114,26,6,10
9,S01000019,18,21,30,1,48,76,11,11,8
10,S01000016,16,10,17,2,34,49,15,3,19
11,S01000022,28,18,42,3,50,88,27,7,8
12,S01000056,58,29,40,8,75,131,36,10,10
13,S01000025,10,16,25,4,49,121,33,7,4
14,S01000029,3,5,5,1,35,143,11,4,4
15,S01000034,42,19,40,4,68,123,25,7,11
16,S01000031,56,50,44,5,71,94,15,11,19
17,S01000020,110,37,28,8,43,71,13,5,26
18,S01000027,39,39,51,10,57,84,30,12,10
19,S01000039,88,56,43,14,49,74,24,46,35
20,S01000036,61,30,33,14,25,44,35,26,23
21,S01000035,64,71,42,23,77,57,37,34,42
22,S01000043,107,173,33,11,58,34,23,12,45
23,S01000042,61,60,29,16,43,51,27,22,33
24,S01000044,111,83,43,19,33,52,29,30,41
25,S01000050,39,43,28,4,59,57,18,6,8
26,S01000058,27,29,32,5,49,98,14,5,9
27,S01000063,44,80,32,10,81,90,34,11,30
28,S01000062,43,225,19,11,119,58,21,12,39
29,S01000080,58,264,10,5,111,45,18,5,42
30,S01000085,31,223,5,2,95,12,3,2,37
31,S01000046,46,29,61,10,76,73,17,9,11
32,S01000045,36,13,39,9,53,53,21,4,16
33,S01000049,70,45,41,6,57,67,24,9,17
34,S01000048,44,93,48,14,91,84,30,8,10
35,S01000054,124,36,67,10,43,73,19,6,9
36,S01000061,73,79,79,11,82,78,29,5,17
37,S01000051,82,27,72,9,61,71,21,7,14
38,S01000087,41,34,34,6,36,57,18,6,18
39,S01000067,126,103,52,8,70,74,20,9,12
40,S01000073,60,31,24,5,40,75,15,5,9
41,S01000072,83,42,66,19,63,57,25,17,17
42,S01000096,127,98,50,11,40,40,16,20,10
43,S01000076,38,14,61,5,85,75,27,6,5
44,S01000099,49,41,58,5,66,73,25,8,7
45,S01000089,52,22,80,4,81,93,41,7,10
46,S01000105,41,59,38,9,88,79,32,19,13
47,S01000114,24,96,11,14,33,47,16,50,14
48,S01000110,120,42,62,10,61,60,20,8,18
49,S01000118,50,32,42,8,51,52,25,29,11
50,S01000115,95,49,57,22,45,61,36,31,16
51,S01000122,67,54,27,13,34,54,23,57,16
52,S01000131,60,109,17,4,70,49,10,7,26
53,S01000113,36,53,15,6,42,61,7,7,11
54,S01000117,92,49,30,5,74,102,27,20,25
55,S01000127,43,43,28,7,59,95,25,9,11
56,S01000121,62,59,45,12,55,58,26,17,12
57,S01000141,69,67,34,8,79,67,23,12,22
58,S01000112,64,236,20,16,78,41,7,34,65
59,S01000124,70,276,11,4,101,15,9,15,89
60,S01000132,28,169,17,9,94,33,13,16,53
61,S01000119,71,268,17,4,65,19,4,13,66
62,S01000116,42,372,5,3,106,23,5,11,46
63,S01000120,36,137,11,4,50,36,8,5,29
64,S01000111,46,116,19,6,66,59,13,12,32
65,S01000101,43,99,23,4,90,76,19,11,40
66,S01000097,54,95,34,9,86,110,17,9,18
67,S01000104,38,27,55,8,62,87,25,6,13
68,S01000106,27,58,13,7,47,97,10,6,13
69,S01000077,33,97,22,9,91,93,19,9,25
70,S01000083,35,115,22,6,67,66,13,10,30
71,S01000090,33,189,12,5,81,55,9,11,33
72,S01000091,39,306,8,5,117,30,14,13,50
73,S01000092,30,308,13,2,121,15,3,9,64
74,S01000095,43,182,12,2,89,45,4,7,21
75,S01000081,66,66,43,8,90,98,18,4,16
76,S01000100,26,208,2,7,82,14,4,12,73
77,S01000094,13,173,3,6,71,6,10,6,61
78,S01000103,26,170,6,6,63,23,7,10,54
79,S01000102,85,187,23,14,56,16,14,21,49
80,S01000109,80,246,32,10,75,11,9,18,82
81,S01000098,24,327,11,4,86,17,9,22,85
82,S01000107,17,278,7,8,93,25,11,14,93
83,S01000093,14,120,4,5,49,29,5,19,41
84,S01000079,28,214,9,6,113,64,14,9,46
85,S01000075,73,132,21,8,54,15,6,11,32
86,S01000088,17,204,8,4,88,24,8,18,20
87,S01000086,31,151,5,5,79,44,11,11,30
88,S01000059,26,65,28,12,70,72,28,17,20
89,S01000047,108,110,51,18,64,29,12,11,36
90,S01000053,130,149,41,13,97,63,18,11,42
91,S01000065,55,241,22,12,104,45,16,10,49
92,S01000068,85,62,30,6,61,79,16,13,28
93,S01000026,85,60,62,14,49,69,29,36,13
94,S01000038,40,38,45,17,47,68,48,18,19
95,S01000033,95,54,38,20,45,54,16,54,13
96,S01000041,83,26,46,18,67,57,35,15,22
97,S01000040,59,48,42,13,51,79,40,40,20
98,S01000012,17,25,21,9,87,108,36,5,16
99,S01000032,104,37,65,35,71,80,46,26,23
100,S01000030,46,33,38,9,20,44,13,18,10
101,S01000028,66,45,66,23,53,75,36,43,19
102,S01000021,43,41,38,20,66,76,36,17,13
103,S01000004,1,48,12,1,91,83,8,3,11
104,S01000002,5,36,3,3,76,114,12,9,9
105,S01000003,10,84,9,1,70,128,12,10,9
106,S01000009,30,45,19,5,64,65,27,10,19
107,S01000010,15,46,10,1,85,64,12,7,4
108,S01000014,28,58,19,7,90,99,34,17,17
109,S01000017,41,61,28,9,99,94,37,13,11
110,S01000018,5,41,9,4,75,59,28,10,10
111,S01000015,4,83,1,1,77,91,12,9,7
112,S01000037,41,103,19,19,48,48,22,28,22
113,S01000074,54,114,15,6,50,36,12,76,17
114,S01000066,27,231,29,9,81,33,15,15,17
115,S01000064,43,46,32,8,47,58,22,11,17
116,S01000069,74,113,28,16,36,33,19,39,20
117,S01000084,45,271,7,9,70,37,8,16,23
118,S01000078,40,343,10,5,92,27,2,21,27
119,S01000055,28,85,12,16,40,50,17,51,20
120,S01000052,23,37,23,19,35,51,22,24,26
121,S01000082,105,131,34,18,68,54,18,45,18
122,S01000071,62,133,18,12,54,41,14,60,17
123,S01000057,25,75,13,10,30,50,19,38,24
124,S01000060,17,103,8,7,26,36,10,42,19
125,S01000070,26,54,25,7,44,48,17,45,18
126,S01000108,58,142,20,5,47,25,15,10,40
127,S01000130,87,224,24,6,77,26,9,23,60
128,S01000126,133,235,29,9,56,18,6,12,71
129,S01000147,28,267,4,7,60,18,0,22,50
130,S01000138,35,251,12,4,66,25,6,9,86
131,S01000144,11,148,0,1,57,7,1,6,74
132,S01000153,40,135,13,9,42,19,9,26,49
133,S01000135,79,132,22,18,49,32,19,41,29
134,S01000129,4,127,0,3,37,11,1,5,89
135,S01000125,66,178,24,21,51,32,7,39,79
136,S01000128,33,334,5,4,81,23,2,11,106
137,S01000146,37,391,7,11,87,34,2,33,90
138,S01000161,39,92,16,9,66,46,24,7,109
139,S01000149,73,276,31,9,96,19,9,9,102
140,S01000152,40,179,17,6,90,48,13,11,50
141,S01000165,93,142,40,21,54,38,14,44,37
142,S01000137,37,196,10,0,73,26,6,34,75
143,S01000175,8,137,5,5,47,26,5,12,52
144,S01000156,34,216,5,8,77,43,9,39,78
145,S01000183,18,212,5,12,51,39,13,45,82
146,S01000170,46,157,23,3,76,35,23,14,129
147,S01000166,56,219,22,8,92,40,13,2,108
148,S01000179,147,116,39,8,48,33,11,40,15
149,S01000185,104,158,32,21,53,26,15,34,31
150,S01000176,36,152,15,2,45,9,3,20,102
151,S01000188,94,153,52,4,73,14,9,5,49
152,S01000164,84,100,48,5,55,16,5,12,22
153,S01000220,37,84,31,12,47,30,13,26,27
154,S01000205,32,94,8,14,39,35,19,26,57
155,S01000192,43,106,23,12,50,40,14,40,41
156,S01000207,138,147,39,15,56,39,16,49,26
157,S01000203,18,126,0,4,39,39,2,46,22
158,S01000211,57,107,26,14,45,32,19,39,18
159,S01000195,42,170,15,16,53,29,19,30,26
160,S01000217,34,112,12,6,45,38,24,34,27
161,S01000216,43,58,23,8,67,48,27,3,13
162,S01000219,40,115,6,10,34,34,18,56,38
163,S01000221,100,149,28,9,72,48,11,17,27
164,S01000199,62,101,9,10,40,44,6,44,33
165,S01000194,22,143,4,7,48,33,7,51,50
166,S01000210,27,185,14,3,48,23,4,23,28
167,S01000213,84,120,34,10,53,30,8,30,24
168,S01000201,64,40,36,22,39,53,14,24,20
169,S01000200,87,50,41,29,57,50,35,41,22
170,S01000186,172,37,74,16,66,59,33,18,24
171,S01000191,60,96,44,18,74,54,27,10,47
172,S01000177,27,71,13,5,59,35,14,6,39
173,S01000184,64,63,31,17,79,50,23,10,34
174,S01000202,73,135,24,15,83,57,15,22,37
175,S01000151,158,46,66,18,55,50,28,36,24
176,S01000169,66,34,51,9,67,42,34,20,22
177,S01000173,69,54,38,20,37,56,24,40,24
178,S01000157,131,101,48,12,52,29,16,30,16
179,S01000158,88,70,56,13,65,58,31,56,17
180,S01000172,32,22,23,13,35,45,18,18,7
181,S01000162,82,74,48,15,67,55,28,33,31
182,S01000134,41,50,35,17,33,65,26,50,14
183,S01000139,83,26,58,16,56,54,40,20,16
184,S01000160,52,31,48,18,49,63,49,16,11
185,S01000136,50,34,37,12,37,52,25,39,21
186,S01000148,44,46,25,11,31,60,17,58,11
187,S01000155,84,47,46,17,46,58,33,22,12
188,S01000150,54,25,26,21,30,61,17,35,9
189,S01000142,47,52,21,20,47,58,19,58,16
190,S01000133,41,29,32,12,46,60,34,34,13
191,S01000140,89,46,33,20,64,73,44,20,21
192,S01000145,144,72,39,16,59,50,42,25,16
193,S01000163,72,49,52,23,64,79,37,28,25
194,S01000154,46,26,39,12,39,38,30,11,9
195,S01000167,67,26,29,16,60,51,27,16,24
196,S01000189,17,14,9,10,28,41,30,40,26
