GEO_CODE,Pop
S01000001,864
S01000013,898
S01000024,512
S01000005,663
S01000008,584
S01000006,626
S01000007,857
S01000023,805
S01000011,918
S01000019,588
S01000016,564
S01000022,729
S01000056,1049
S01000025,874
S01000029,742
S01000034,1012
S01000031,866
S01000020,877
S01000027,815
S01000039,942
S01000036,744
S01000035,1009
S01000043,837
S01000042,790
S01000044,951
S01000050,618
S01000058,710
S01000063,983
S01000062,991
S01000080,927
S01000085,612
S01000046,768
S01000045,581
S01000049,764
S01000048,925
S01000054,777
S01000061,963
S01000051,788
S01000087,820
S01000067,897
S01000073,619
S01000072,832
S01000096,706
S01000076,770
S01000099,762
S01000089,1003
S01000105,885
S01000114,876
S01000110,820
S01000118,704
S01000115,873
S01000122,764
S01000131,659
S01000113,545
S01000117,1056
S01000127,798
S01000121,796
S01000141,945
S01000112,970
S01000124,985
S01000132,784
S01000119,786
S01000116,901
S01000120,574
S01000111,762
S01000101,885
S01000097,1034
S01000104,863
S01000106,706
S01000077,917
S01000083,757
S01000090,800
S01000091,994
S01000092,851
S01000095,703
S01000081,924
S01000100,760
S01000094,575
S01000103,603
S01000102,747
S01000109,895
S01000098,1022
S01000107,889
S01000093,558
S01000079,952
S01000075,547
S01000088,639
S01000086,745
S01000059,806
S01000047,759
S01000053,1065
S01000065,953
S01000068,862
S01000026,930
S01000038,861
S01000033,796
S01000041,838
S01000040,970
S01000012,874
S01000032,1089
S01000030,500
S01000028,969
S01000021,862
S01000004,641
S01000002,687
S01000003,838
S01000009,710
S01000010,568
S01000014,919
S01000017,937
S01000018,577
S01000015,655
S01000037,800
S01000074,763
S01000066,800
S01000064,648
S01000069,684
S01000084,748
S01000078,817
S01000055,754
S01000052,677
S01000082,954
S01000071,740
S01000057,700
S01000060,577
S01000070,646
S01000108,707
S01000130,865
S01000126,867
S01000147,735
S01000138,822
S01000144,547
S01000153,594
S01000135,721
S01000129,549
S01000125,934
S01000128,1538
S01000146,1078
S01000161,959
S01000149,1011
S01000152,1083
S01000165,861
S01000137,786
S01000175,528
S01000156,970
S01000183,1000
S01000170,1035
S01000166,1147
S01000179,757
S01000185,787
S01000176,744
S01000188,1079
S01000164,545
S01000220,1399
S01000205,960
S01000192,767
S01000207,883
S01000203,579
S01000211,713
S01000195,697
S01000217,698
S01000216,619
S01000219,698
S01000221,897
S01000199,716
S01000194,745
S01000210,578
S01000213,672
S01000201,654
S01000200,846
S01000186,957
S01000191,1057
S01000177,554
S01000184,793
S01000202,888
S01000151,907
S01000169,761
S01000173,811
S01000157,749
S01000158,933
S01000172,501
S01000162,886
S01000134,762
S01000139,817
S01000160,813
S01000136,706
S01000148,694
S01000155,784
S01000150,636
S01000142,772
S01000133,737
S01000140,943
S01000145,905
S01000163,1022
S01000154,557
S01000167,712
S01000189,624
S01000181,654
S01000168,956
S01000187,713
S01000182,873
S01000190,887
S01000197,610
S01000193,802
S01000178,760
S01000180,693
S01000196,924
S01000209,987
S01000208,857
S01000212,788
S01000198,746
S01000206,714
S01000204,622
S01000215,736
S01000237,916
S01000224,768
S01000174,873
S01000159,1014
S01000143,633
S01000171,892
S01000123,648
S01000228,660
S01000223,525
S01000222,758
S01000218,718
S01000214,507
S01000244,1045
S01000256,919
S01000229,795
S01000257,826
S01000266,984
S01000264,1033
S01000267,691
S01000265,778
S01000262,946
S01000261,1007
S01000227,646
S01000235,888
S01000231,764
S01000238,516
S01000234,762
S01000260,890
S01000263,845
S01000252,867
S01000255,632
S01000258,666
S01000246,750
S01000241,746
S01000245,953
S01000247,767
S01000251,501
S01000248,868
S01000250,805
S01000253,745
S01000230,678
S01000233,567
S01000243,739
S01000240,721
S01000232,669
S01000225,595
S01000239,733
S01000242,690
S01000236,680
S01000226,618
S01000259,614
S01000254,808
S01000249,738
S01000312,646
S01000303,617
S01000316,800
S01000360,514
S01000301,579
S01000331,621
S01000309,770
S01000332,687
S01000334,894
S01000344,894
S01000302,566
S01000299,953
S01000279,613
S01000281,679
S01000275,982
S01000272,940
S01000270,964
S01000273,524
S01000269,649
S01000268,779
S01000271,906
S01000283,881
S01000282,663
S01000274,594
S01000280,620
S01000276,740
S01000278,537
S01000277,674
S01000285,672
S01000284,819
S01000308,991
S01000324,870
S01000300,774
S01000298,528
S01000287,724
S01000290,775
S01000288,897
S01000291,831
S01000289,849
S01000286,880
S01000297,814
S01000295,607
S01000292,980
S01000296,532
S01000293,765
S01000294,699
S01000305,1040
S01000304,909
S01000307,991
S01000327,898
S01000320,722
S01000310,899
S01000314,572
S01000319,723
S01000336,852
S01000333,841
S01000329,603
S01000328,601
S01000326,763
S01000321,581
S01000335,652
S01000306,746
S01000340,971
S01000361,614
S01000356,611
S01000322,1083
S01000330,733
S01000317,551
S01000325,618
S01000313,709
S01000311,947
S01000318,577
S01000315,661
S01000323,888
S01000338,508
S01000339,1094
S01000343,644
S01000337,690
S01000342,520
S01000341,748
S01000364,900
S01000384,731
S01000363,960
S01000371,931
S01000368,797
S01000374,734
S01000382,755
S01000377,721
S01000395,710
S01000376,899
S01000373,588
S01000372,983
S01000375,646
S01000378,581
S01000397,1024
S01000406,629
S01000403,797
S01000404,756
S01000402,709
S01000408,513
S01000409,666
S01000407,658
S01000394,688
S01000390,727
S01000398,749
S01000391,636
S01000393,857
S01000396,940
S01000399,577
S01000400,705
S01000410,664
S01000426,797
S01000421,601
S01000367,753
S01000386,766
S01000366,761
S01000381,944
S01000362,920
S01000365,677
S01000359,856
S01000354,648
S01000358,1030
S01000347,478
S01000357,682
S01000352,798
S01000346,683
S01000348,816
S01000349,592
S01000355,707
S01000351,1023
S01000345,646
S01000350,1002
S01000353,663
S01000392,723
S01000383,714
S01000389,667
S01000387,853
S01000379,574
S01000369,975
S01000380,748
S01000388,775
S01000370,796
S01000385,574
S01000432,973
S01000439,700
S01000431,693
S01000444,573
S01000438,698
S01000429,782
S01000428,777
S01000427,785
S01000430,570
S01000437,1024
S01000434,680
S01000436,695
S01000435,555
S01000433,522
S01000405,578
S01000413,786
S01000414,721
S01000446,946
S01000451,790
S01000425,781
S01000442,871
S01000412,787
S01000416,670
S01000424,727
S01000411,631
S01000417,1005
S01000420,998
S01000419,672
S01000423,904
S01000454,493
S01000443,581
S01000452,561
S01000468,520
S01000448,622
S01000447,539
S01000440,868
S01000415,615
S01000453,547
S01000466,799
S01000422,725
S01000456,718
S01000418,723
S01000401,824
S01000441,871
S01000464,741
S01000462,1035
S01000459,1037
S01000457,872
S01000461,863
S01000460,769
S01000514,516
S01000509,1058
S01000506,654
S01000474,648
S01000507,1087
S01000512,892
S01000510,658
S01000504,759
S01000536,519
S01000525,987
S01000555,904
S01000551,830
S01000548,1012
S01000528,843
S01000520,1010
S01000513,862
S01000539,1028
S01000538,789
S01000541,552
S01000534,813
S01000532,809
S01000535,985
S01000545,717
S01000546,670
S01000542,672
S01000540,784
S01000517,651
S01000526,966
S01000544,733
S01000529,723
S01000531,523
S01000522,612
S01000508,877
S01000521,927
S01000493,588
S01000502,540
S01000497,630
S01000503,533
S01000511,556
S01000515,569
S01000476,581
S01000518,879
S01000519,476
S01000498,548
S01000501,621
S01000499,803
S01000500,675
S01000458,853
S01000465,629
S01000480,665
S01000445,971
S01000455,870
S01000450,645
S01000449,784
S01000463,816
S01000467,626
S01000469,689
S01000481,784
S01000470,1263
S01000473,745
S01000475,887
S01000472,836
S01000477,777
S01000479,967
S01000483,970
S01000487,590
S01000478,869
S01000492,954
S01000494,566
S01000489,904
S01000484,806
S01000486,848
S01000482,837
S01000491,593
S01000496,587
S01000490,541
S01000488,703
S01000485,1080
S01000495,935
S01000471,603
S01000516,654
S01000505,757
S01000523,793
S01000524,647
S01000543,814
S01000530,477
