GEO_CODE,TotalCars
S01000001,478.0
S01000002,358.0
S01000003,402.0
S01000004,371.0
S01000005,371.0
S01000006,292.0
S01000007,497.0
S01000008,301.0
S01000009,324.0
S01000010,310.0
S01000011,541.0
S01000012,506.0
S01000013,422.0
S01000014,457.0
S01000015,341.0
S01000016,321.0
S01000017,441.0
S01000018,263.0
S01000019,347.0
S01000020,460.0
S01000021,370.0
S01000022,487.0
S01000023,507.0
S01000024,315.0
S01000025,534.0
S01000026,263.0
S01000027,508.0
S01000028,312.0
S01000029,403.0
S01000030,175.0
S01000031,519.0
S01000032,372.0
S01000033,227.0
S01000034,604.0
S01000035,380.0
S01000036,217.0
S01000037,273.0
S01000038,307.0
S01000039,298.0
S01000040,296.0
S01000041,401.0
S01000042,277.0
S01000043,389.0
S01000044,301.0
S01000045,325.0
S01000046,414.0
S01000047,265.0
S01000048,525.0
S01000049,428.0
S01000050,305.0
S01000051,449.0
S01000052,187.0
S01000053,486.0
S01000054,378.0
S01000055,199.0
S01000056,632.0
S01000057,156.0
S01000058,391.0
S01000059,452.0
S01000060,133.0
S01000061,563.0
S01000062,551.0
S01000063,518.0
S01000064,228.0
S01000065,497.0
S01000066,275.0
S01000067,499.0
S01000068,398.0
S01000069,177.0
S01000070,195.0
S01000071,179.0
S01000072,433.0
S01000073,373.0
S01000074,152.0
S01000075,282.0
S01000076,418.0
S01000077,518.0
S01000078,271.0
S01000079,499.0
S01000080,455.0
S01000081,534.0
S01000082,266.0
S01000083,367.0
S01000084,250.0
S01000085,292.0
S01000086,355.0
S01000087,354.0
S01000088,341.0
S01000089,622.0
S01000090,447.0
S01000091,420.0
S01000092,409.0
S01000093,215.0
S01000094,272.0
S01000095,367.0
S01000096,256.0
S01000097,609.0
S01000098,349.0
S01000099,480.0
S01000100,337.0
S01000101,463.0
S01000102,224.0
S01000103,286.0
S01000104,532.0
S01000105,502.0
S01000106,392.0
S01000107,301.0
S01000108,201.0
S01000109,270.0
S01000110,423.0
S01000111,406.0
S01000112,292.0
S01000113,291.0
S01000114,210.0
S01000115,300.0
