,ScenarioID,CountryID,Year,PassTransIntensity_IX,FreightTransIntensity_IX,ShDe_PassPrivCar_IX,ShDe_PassPublicTrans_IX,ShDe_PassPlane_IX,ShDe_FreightTransRoad_IX,ShDe_FreightTransRail_IX,ShTrip_CarU_IX,ShTrip_CarR_IX,ShTrip_CarH_IX,FreightTrans_EU_CEC_IX
0,1,7,2031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1,1,7,2032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
2,1,7,2033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
3,1,7,2034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
4,1,7,2035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
5,1,7,2036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
6,1,7,2037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
7,1,7,2038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
8,1,7,2039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
9,1,7,2040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
10,1,7,2041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
11,1,7,2042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
12,1,7,2043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
13,1,7,2044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
14,1,7,2045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
15,1,7,2046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
16,1,7,2047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
17,1,7,2048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
18,1,7,2049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
19,1,7,2050,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
20,2,7,2031,0.884443998336792,0.884443998336792,0.807407975196838,1.86666703224182,1.08666694164276,0.971110999584198,1.14444398880005,0.826667010784149,1.14444398880005,1.2888890504837,1
21,2,7,2032,0.879999995231628,0.879999995231628,0.800000011920929,1.89999997615814,1.0900000333786,0.970000028610229,1.14999997615814,0.819999992847443,1.14999997615814,1.29999995231628,1
22,2,7,2033,0.875555992126465,0.875555992126465,0.792593002319336,1.93333303928375,1.09333300590515,0.968888998031616,1.15555596351624,0.813332974910736,1.15555596351624,1.31111097335815,1
23,2,7,2034,0.87111097574234,0.87111097574234,0.785184979438782,1.96666705608368,1.09666705131531,0.967778027057648,1.16111099720001,0.806666970252991,1.16111099720001,1.32222199440002,1
24,2,7,2035,0.866666972637177,0.866666972637177,0.777778029441834,2.0,1.10000002384186,0.966666996479034,1.16666698455811,0.800000011920929,1.16666698455811,1.33333301544189,1
25,2,7,2036,0.862222015857697,0.862222015857697,0.77037101984024,2.03333306312561,1.10333299636841,0.965556025505066,1.17222201824188,0.793332993984222,1.17222201824188,1.34444403648376,1
26,2,7,2037,0.857778012752533,0.857778012752533,0.762962996959686,2.06666707992554,1.10666704177856,0.964443981647491,1.17777800559998,0.786666989326477,1.17777800559998,1.35555601119995,1
27,2,7,2038,0.853332996368408,0.853332996368408,0.755555987358093,2.09999990463257,1.11000001430511,0.963333010673523,1.18333303928375,0.779999971389771,1.18333303928375,1.36666703224182,1
28,2,7,2039,0.848888993263245,0.848888993263245,0.748148024082184,2.13333296775818,1.11333298683167,0.96222198009491,1.18888902664185,0.773333013057709,1.18888902664185,1.37777805328369,1
29,2,7,2040,0.84444397687912,0.84444397687912,0.740741014480591,2.16666698455811,1.11666703224182,0.961111009120941,1.19444394111633,0.766667008399963,1.19444394111633,1.38888895511627,1
30,2,7,2041,0.839999973773956,0.839999973773956,0.733334004878998,2.20000004768372,1.12000000476837,0.959999978542328,1.20000004768372,0.759999990463257,1.20000004768372,1.39999997615814,1
31,2,7,2042,0.835555970668793,0.835555970668793,0.725925981998444,2.23333311080933,1.12333297729492,0.958889007568359,1.20555603504181,0.75333297252655,1.20555603504181,1.41111099720001,1
32,2,7,2043,0.831111013889313,0.831111013889313,0.718518972396851,2.26666688919067,1.12666702270508,0.957777976989746,1.2111109495163,0.74666702747345,1.2111109495163,1.42222201824188,1
