,ScenarioID,CountryID,Year,PassTransIntensity_IX,FreightTransIntensity_IX,ShDe_PassPrivCar_IX,ShDe_PassPublicTrans_IX,ShDe_PassPlane_IX,ShDe_FreightTransRoad_IX,ShDe_FreightTransRail_IX,ShTrip_CarU_IX,ShTrip_CarR_IX,ShTrip_CarH_IX,FreightTrans_EU_CEC_IX
0,1,9,2012,1,1,1,1,1,1,1,1,1,1,1
1,1,9,2013,1,1,1,1,1,1,1,1,1,1,1
2,1,9,2014,1,1,1,1,1,1,1,1,1,1,1
3,1,9,2015,1,1,1,1,1,1,1,1,1,1,1
4,1,9,2016,1,1,1,1,1,1,1,1,1,1,1
5,1,9,2017,1,1,1,1,1,1,1,1,1,1,1
6,1,9,2018,1,1,1,1,1,1,1,1,1,1,1
7,1,9,2019,1,1,1,1,1,1,1,1,1,1,1
8,1,9,2020,1,1,1,1,1,1,1,1,1,1,1
9,1,9,2021,1,1,1,1,1,1,1,1,1,1,1
10,1,9,2022,1,1,1,1,1,1,1,1,1,1,1
11,1,9,2023,1,1,1,1,1,1,1,1,1,1,1
12,1,9,2024,1,1,1,1,1,1,1,1,1,1,1
13,1,9,2025,1,1,1,1,1,1,1,1,1,1,1
14,1,9,2026,1,1,1,1,1,1,1,1,1,1,1
15,1,9,2027,1,1,1,1,1,1,1,1,1,1,1
16,1,9,2028,1,1,1,1,1,1,1,1,1,1,1
17,1,9,2029,1,1,1,1,1,1,1,1,1,1,1
18,1,9,2030,1,1,1,1,1,1,1,1,1,1,1
19,1,9,2031,1,1,1,1,1,1,1,1,1,1,1
20,1,9,2032,1,1,1,1,1,1,1,1,1,1,1
21,1,9,2033,1,1,1,1,1,1,1,1,1,1,1
22,1,9,2034,1,1,1,1,1,1,1,1,1,1,1
23,1,9,2035,1,1,1,1,1,1,1,1,1,1,1
24,1,9,2036,1,1,1,1,1,1,1,1,1,1,1
25,1,9,2037,1,1,1,1,1,1,1,1,1,1,1
26,1,9,2038,1,1,1,1,1,1,1,1,1,1,1
