,ScenarioID,CountryID,Year,AvailableVehiclesID,JSType_VSMID,LoadFactor
0,1,9,2012,4,1,1.0
1,1,9,2012,4,2,1.0
2,1,9,2012,4,3,1.0
3,1,9,2012,5,1,1.0
4,1,9,2012,5,2,1.0
5,1,9,2012,5,3,1.0
6,1,9,2012,6,1,1.0
7,1,9,2012,6,2,1.0
8,1,9,2012,6,3,1.0
9,1,9,2012,7,4,1.0
10,1,9,2012,7,10,1.0
11,1,9,2012,7,11,1.0
12,1,9,2012,7,12,1.0
13,1,9,2012,8,4,1.0
14,1,9,2012,8,10,1.0
15,1,9,2012,8,11,1.0
16,1,9,2012,8,12,1.0
17,1,9,2012,9,5,1.0
18,1,9,2012,9,6,1.0
19,1,9,2012,9,7,1.0
20,1,9,2012,10,9,1.0
21,1,9,2012,10,13,1.0
22,1,9,2012,11,9,1.0
23,1,9,2012,11,13,1.0
24,1,9,2013,4,1,1.01323578538922
25,1,9,2013,4,2,1.01323578538922
26,1,9,2013,4,3,1.01323578538922
27,1,9,2013,5,1,0.97203497271391
28,1,9,2013,5,2,0.97203497271391
29,1,9,2013,5,3,0.97203497271391
30,1,9,2013,6,1,1.00218721515443
31,1,9,2013,6,2,1.00218721515443
32,1,9,2013,6,3,1.00218721515443
33,1,9,2013,7,4,1.0
34,1,9,2013,7,10,1.0
35,1,9,2013,7,11,1.0
36,1,9,2013,7,12,1.0
37,1,9,2013,8,4,1.0
38,1,9,2013,8,10,1.0
39,1,9,2013,8,11,1.0
40,1,9,2013,8,12,1.0
41,1,9,2013,9,5,1.0
42,1,9,2013,9,6,1.0
43,1,9,2013,9,7,1.0
44,1,9,2013,10,9,1.0
45,1,9,2013,10,13,1.0
46,1,9,2013,11,9,1.0
47,1,9,2013,11,13,1.0
48,1,9,2014,4,1,0.974961278105751
49,1,9,2014,4,2,0.974961278105751
50,1,9,2014,4,3,0.974961278105751
51,1,9,2014,5,1,0.964480614325414
52,1,9,2014,5,2,0.964480614325414
53,1,9,2014,5,3,0.964480614325414
54,1,9,2014,6,1,0.994839610402495
55,1,9,2014,6,2,0.994839610402495
56,1,9,2014,6,3,0.994839610402495
57,1,9,2014,7,4,1.0
58,1,9,2014,7,10,1.0
59,1,9,2014,7,11,1.0
60,1,9,2014,7,12,1.0
61,1,9,2014,8,4,1.0
62,1,9,2014,8,10,1.0
63,1,9,2014,8,11,1.0
64,1,9,2014,8,12,1.0
65,1,9,2014,9,5,1.0
66,1,9,2014,9,6,1.0
67,1,9,2014,9,7,1.0
68,1,9,2014,10,9,1.0
69,1,9,2014,10,13,1.0
70,1,9,2014,11,9,1.0
71,1,9,2014,11,13,1.0
72,1,9,2015,4,1,0.997499931260278
73,1,9,2015,4,2,0.997499931260278
74,1,9,2015,4,3,0.997499931260278
75,1,9,2015,5,1,1.0339631027196
76,1,9,2015,5,2,1.0339631027196
77,1,9,2015,5,3,1.0339631027196
78,1,9,2015,6,1,0.981399012865225
79,1,9,2015,6,2,0.981399012865225
80,1,9,2015,6,3,0.981399012865225
81,1,9,2015,7,4,1.0
82,1,9,2015,7,10,1.0
83,1,9,2015,7,11,1.0
84,1,9,2015,7,12,1.0
85,1,9,2015,8,4,1.0
86,1,9,2015,8,10,1.0
87,1,9,2015,8,11,1.0
88,1,9,2015,8,12,1.0
89,1,9,2015,9,5,1.0
90,1,9,2015,9,6,1.0
91,1,9,2015,9,7,1.0
92,1,9,2015,10,9,1.0
93,1,9,2015,10,13,1.0
94,1,9,2015,11,9,1.0
95,1,9,2015,11,13,1.0
96,1,9,2016,4,1,0.983032497559695
97,1,9,2016,4,2,0.983032497559695
98,1,9,2016,4,3,0.983032497559695
99,1,9,2016,5,1,1.11071247944131
100,1,9,2016,5,2,1.11071247944131
101,1,9,2016,5,3,1.11071247944131
102,1,9,2016,6,1,0.979417806093523
103,1,9,2016,6,2,0.979417806093523
104,1,9,2016,6,3,0.979417806093523
105,1,9,2016,7,4,1.0
106,1,9,2016,7,10,1.0
107,1,9,2016,7,11,1.0
108,1,9,2016,7,12,1.0
109,1,9,2016,8,4,1.0
110,1,9,2016,8,10,1.0
111,1,9,2016,8,11,1.0
112,1,9,2016,8,12,1.0
113,1,9,2016,9,5,1.0
114,1,9,2016,9,6,1.0
115,1,9,2016,9,7,1.0
116,1,9,2016,10,9,1.0
117,1,9,2016,10,13,1.0
118,1,9,2016,11,9,1.0
119,1,9,2016,11,13,1.0
120,1,9,2017,4,1,0.978112125610604
121,1,9,2017,4,2,0.978112125610604
122,1,9,2017,4,3,0.978112125610604
123,1,9,2017,5,1,1.16926829336255
124,1,9,2017,5,2,1.16926829336255
125,1,9,2017,5,3,1.16926829336255
126,1,9,2017,6,1,0.980324040301771
127,1,9,2017,6,2,0.980324040301771
128,1,9,2017,6,3,0.980324040301771
129,1,9,2017,7,4,1.0
130,1,9,2017,7,10,1.0
131,1,9,2017,7,11,1.0
132,1,9,2017,7,12,1.0
133,1,9,2017,8,4,1.0
134,1,9,2017,8,10,1.0
135,1,9,2017,8,11,1.0
136,1,9,2017,8,12,1.0
137,1,9,2017,9,5,1.0
138,1,9,2017,9,6,1.0
139,1,9,2017,9,7,1.0
140,1,9,2017,10,9,1.0
141,1,9,2017,10,13,1.0
142,1,9,2017,11,9,1.0
143,1,9,2017,11,13,1.0
144,1,9,2018,4,1,0.962539047827673
145,1,9,2018,4,2,0.962539047827673
146,1,9,2018,4,3,0.962539047827673
147,1,9,2018,5,1,1.20833010081351
148,1,9,2018,5,2,1.20833010081351
149,1,9,2018,5,3,1.20833010081351
150,1,9,2018,6,1,0.990297343992831
151,1,9,2018,6,2,0.990297343992831
152,1,9,2018,6,3,0.990297343992831
153,1,9,2018,7,4,1.0
154,1,9,2018,7,10,1.0
155,1,9,2018,7,11,1.0
156,1,9,2018,7,12,1.0
157,1,9,2018,8,4,1.0
158,1,9,2018,8,10,1.0
159,1,9,2018,8,11,1.0
160,1,9,2018,8,12,1.0
161,1,9,2018,9,5,1.0
162,1,9,2018,9,6,1.0
163,1,9,2018,9,7,1.0
164,1,9,2018,10,9,1.0
165,1,9,2018,10,13,1.0
166,1,9,2018,11,9,1.0
167,1,9,2018,11,13,1.0
168,1,9,2019,4,1,0.962803417072987
