TechID,ModeID,VehTypeID,MassCatID,FuelID,EngineID,TransTypeID,Availability,Final_Year,HybridFlag,spec_energ_consump,spec_energ_electric,noise_class,PurchasePrice,ExpectedLifeFactor,Capacity,AveEconLife
10,1,2,4,1,10,1,1980,2000,0,6.571951389,,0,5000,1,2,10
20,1,2,4,12,10,1,1995,2010,0,9.514442444,,2,7000,1,2,10
25,1,2,4,12,11,1,2010,2020,0,8.380919456,,2,6000,1,2,10
26,1,2,4,12,12,1,2020,,0,7.183645725,,2,5500,1,2,10
30,1,2,4,1,11,1,2000,2010,0,5.645645142,,0,5000,1,2,10
40,1,2,4,1,12,1,2010,,0,4.563410759,,0,5000,1,2,10
50,1,2,4,13,13,1,2015,2030,0,23.98523903,,2,7000,1,2,10
60,1,2,4,13,13,1,2030,,0,19.22710991,,2,6000,1,2,10
70,1,3,1,1,1,1,1980,1991,0,8.362769127,,0,10000,1,5,12
80,1,3,1,1,14,1,2009,2014,0,7.309161186,,1,10000,1,5,12
81,1,3,1,1,15,1,2015,2019,0,6.709962368,,1,10000,1,5,12
82,1,3,1,1,16,1,2020,2024,0,6.227565289,,1,10000,1,5,12
83,1,3,1,1,17,1,2025,2029,0,5.774301052,,1,10000,1,5,12
84,1,3,1,1,18,1,2030,2034,0,5.354026318,,1,10000,1,5,12
85,1,3,1,1,19,1,2035,2039,0,4.964342117,,1,10000,1,5,12
86,1,3,1,1,20,1,2040,2044,0,4.603020191,,1,10000,1,5,12
87,1,3,1,1,21,1,2045,,0,4.267996311,,1,10000,1,5,12
90,1,3,1,1,3,1,1992,1995,0,7.650981903,,0,10000,1,5,12
91,1,3,1,1,14,1,2009,2014,2,3.476704597,11.10236645,1,20000,1,5,12
92,1,3,1,1,15,1,2015,2019,2,3.237383842,10.139884,1,17500,1,5,12
93,1,3,1,1,16,1,2020,2024,2,3.004845619,9.401866913,1,15000,1,5,12
94,1,3,1,1,17,1,2025,2029,2,2.786142588,8.71756649,1,12500,1,5,12
95,1,3,1,1,18,1,2030,2034,2,2.583357334,8.083071709,1,12000,1,5,12
96,1,3,1,1,19,1,2035,2039,2,2.395331383,7.494757652,1,12000,1,5,12
97,1,3,1,1,20,1,2040,2044,2,2.220991373,6.949262142,1,12000,1,5,12
98,1,3,1,1,21,1,2045,,2,2.089089155,6.443470955,1,12000,1,5,12
100,1,3,1,1,4,1,1996,1999,0,8.115560532,,1,10000,1,5,12
110,1,3,1,1,5,1,2000,2004,0,8.145514488,,1,10000,1,5,12
120,1,3,1,1,6,1,2005,2008,0,7.751690865,,1,10000,1,5,12
130,1,3,2,1,1,1,1980,1991,0,9.42133522,,0,15000,1,5,12
140,1,3,2,1,14,1,2009,2014,0,8.351344109,,1,15000,1,5,12
150,1,3,2,1,3,1,1992,1995,0,8.870803833,,0,15000,1,5,12
160,1,3,2,1,4,1,1996,1999,0,9.452494621,,0,15000,1,5,12
161,1,3,2,1,14,1,2009,2014,2,4.012350082,22.4348774,1,25000,1,5,12
162,1,3,2,1,15,1,2015,2019,2,3.740238905,20.48995781,1,22500,1,5,12
163,1,3,2,1,16,1,2020,2024,2,3.47145772,18.99862671,1,20000,1,5,12
164,1,3,2,1,17,1,2025,2029,2,3.218792677,17.61584091,1,18000,1,5,12
165,1,3,2,1,18,1,2030,2034,2,2.984517813,16.33369827,1,18000,1,5,12
166,1,3,2,1,19,1,2035,2039,2,2.767294168,15.14487457,1,18000,1,5,12
167,1,3,2,1,20,1,2040,2044,2,2.565880299,14.04257679,1,18000,1,5,12
168,1,3,2,1,21,1,2045,,2,2.413496017,13.02050877,1,18000,1,5,12
170,1,3,2,1,5,1,2000,2004,0,9.487383842,,1,15000,1,5,12
171,1,3,2,1,15,1,2015,2019,0,7.666708469,,1,15000,1,5,12
172,1,3,2,1,16,1,2020,2024,0,7.115527153,,1,15000,1,5,12
173,1,3,2,1,17,1,2025,2029,0,6.597634792,,1,15000,1,5,12
174,1,3,2,1,18,1,2030,2034,0,6.117434978,,1,15000,1,5,12
175,1,3,2,1,19,1,2035,2039,0,5.672186375,,1,15000,1,5,12
176,1,3,2,1,20,1,2040,2044,0,5.259345055,,1,15000,1,5,12
177,1,3,2,1,21,1,2045,,0,4.876552105,,1,15000,1,5,12
181,1,3,2,1,6,1,2005,2008,0,8.856971741,,1,15000,1,5,12
190,1,3,3,1,1,1,1980,1991,0,10.49903107,,0,22000,1,5,12
191,1,3,3,1,14,1,2009,2014,2,4.994109154,30,1,32500,1,5,12
